Qid,Question,A,B,C,D,Answer,Level
1,What does AI stand for?,Artificial Information,Artificial Invention,Artificial Intelligence,Automated Intelligence,C,easy
2,Which of the following is not a subfield of AI?,Machine Learning,Robotics,Data Analytics,Natural Language Processing,C,easy
3,What is the primary goal of AI?,To mimic human intelligence,To replace human intelligence,To surpass human intelligence,To enhance human intelligence,D,easy
4,Which technique allows computers to learn from experience and improve over time?,Reinforcement Learning,Supervised Learning,Unsupervised Learning,All of the above,D,easy
5,What does NLP stand for?,Natural Linguistic Process,Neutral Language Programming,Natural Language Processing,Neural Language Processing,C,easy
6,Which programming language is commonly used in AI development?,Java,Python,C++,Ruby,B,easy
7,"Which AI technique involves computers understanding, interpreting, and generating human language?",Computer Vision,Speech Recognition,Natural Language Processing,Machine Learning,C,easy
8,Which type of learning involves training a model on labeled data?,Supervised Learning,Unsupervised Learning,Reinforcement Learning,Semi-supervised Learning,A,easy
9,Which AI application is used to detect spam emails?,Computer Vision,Speech Recognition,Natural Language Processing,Expert Systems,C,easy
10,Which AI technique is inspired by the structure and function of the human brain?,Expert Systems,Genetic Algorithms,Neural Networks,Rule-based Systems,C,easy
11,What is the purpose of an expert system in AI?,To mimic human expertise in a specific domain,To automate routine tasks,To understand human emotions,To generate creative content,A,easy
12,Which AI technique involves making decisions based on maximizing rewards?,Supervised Learning,Unsupervised Learning,Reinforcement Learning,Semi-supervised Learning,C,easy
13,Which of the following is NOT an example of machine learning algorithm?,Decision Trees,Linear Regression,Depth-First Search,Support Vector Machines,C,easy
14,Which type of learning involves training a model without labeled data?,Supervised Learning,Unsupervised Learning,Reinforcement Learning,Semi-supervised Learning,B,easy
15,Which AI application is used for facial recognition?,Computer Vision,Speech Recognition,Natural Language Processing,Expert Systems,A,easy
16,What is the primary purpose of a chatbot?,To translate languages,To recognize speech,To engage in conversation,To process images,C,easy
17,Which AI technique involves extracting insights from large datasets?,Reinforcement Learning,Machine Learning,Data Mining,Natural Language Processing,C,easy
18,Which AI application is used in virtual assistants like Siri and Alexa?,Computer Vision,Speech Recognition,Natural Language Processing,Expert Systems,B,easy
19,Which technique is used to classify data into predefined categories?,Clustering,Regression,Classification,Association,C,easy
