Qid,Questions,A,B,C,D,Options,Levels
1,What does Bioreactor refer to in biochemical engineering?,A device for chemical synthesis,A vessel for growing cells or microorganisms,A tool for measuring enzyme activity,A unit for distillation,B,easy
2,"What does the term ""biomass"" refer to in biochemical engineering?",Total mass of organic matter in an ecosystem,Total mass of living organisms in a bioreactor,Mass of proteins in a cell,Mass of minerals in a cell,B,easy
3,Which of the following is NOT a commonly used bioreactor type?,Stirred tank reactor,Packed bed reactor,Tubular reactor,Distillation reactor,D,easy
4,What is the primary function of enzymes in biochemical processes?,Providing structural support to cells,Catalyzing biochemical reactions,Storing genetic information,Facilitating cell communication,B,easy
5,Which of the following is NOT a renewable feedstock commonly used in biochemical engineering?,Sugar cane,Corn,Petroleum,Switchgrass,C,easy
6,What is the main product of alcoholic fermentation?,Ethanol,Methanol,Butanol,Acetic acid,A,easy
7,Which process involves the conversion of glucose into pyruvate?,Glycolysis,Krebs cycle,Electron transport chain,Calvin cycle,A,easy
8,What is the role of oxygen in aerobic fermentation?,To provide energy,To act as a reactant in the fermentation process,To oxidize glucose into carbon dioxide and water,To inhibit microbial growth,C,easy
9,Which of the following is NOT a common product of microbial fermentation?,Acetic acid,Lactic acid,Ethanol,Hydrochloric acid,D,easy
10,What is the primary function of biocatalysts in biochemical processes?,Providing energy,Speeding up chemical reactions,Transporting molecules across membranes,Storing genetic information,B,easy
11,Which of the following is NOT a factor affecting enzyme activity?,pH,Temperature,Pressure,Substrate concentration,C,easy
12,What is the primary role of a bioreactor in biochemical engineering?,Separating biomolecules,Monitoring enzyme activity,Providing optimal conditions for microbial growth,Purifying water,C,easy
13,Which of the following is a common unit operation in biochemical engineering?,Polymerization,Fermentation,Distillation,Crystallization,B,easy
14,"What does the term ""batch culture"" refer to in biochemical engineering?",Continuous feeding of nutrients to a bioreactor,Periodic harvesting of biomass from a bioreactor,Cultivation of microorganisms in a closed system without replenishing nutrients,High-pressure culture of cells,C,easy
15,Which of the following is a primary substrate for anaerobic fermentation?,Glucose,Oxygen,Nitrogen,Carbon dioxide,A,easy
16,What is the primary function of a bioreactor agitator?,Heating the bioreactor,Cooling the bioreactor,Mixing the contents of the bioreactor,Providing oxygen to the bioreactor,C,easy
17,Which of the following is a common downstream process in biochemical engineering?,Fermentation,Filtration,Cell culture,Bioreactor design,B,easy
18,What is the primary role of immobilized enzymes in bioprocessing?,Enhancing enzyme stability,Increasing enzyme substrate affinity,Reducing enzyme activity,Inhibiting enzyme reactions,A,easy
19,"What does the term ""yield"" refer to in biochemical engineering?",The amount of product obtained per unit time,The efficiency of a bioreactor,The ratio of desired product to substrate consumed,The purity of a product,C,easy
20,Which of the following is NOT a common mode of bioreactor operation?,Batch,Continuous,Semi-batch,Randomized,D,easy
21,What is the primary role of nutrients in microbial fermentation?,Providing energy,Acting as reactants in biochemical reactions,Enhancing enzyme stability,Inhibiting microbial growth,B,easy
22,Which of the following is a common method for biomass separation in downstream processing?,Distillation,Filtration,Crystallization,Polymerization,B,easy
23,What is the primary function of a bioreactor in biochemical engineering?,Separating biomolecules,Monitoring enzyme activity,Providing optimal conditions for microbial growth,Purifying water,C,easy
24,Which of the following is a common unit operation in biochemical engineering?,Polymerization,Fermentation,Distillation,Crystallization,B,easy
25,"What does the term ""batch culture"" refer to in biochemical engineering?",Continuous feeding of nutrients to a bioreactor,Periodic harvesting of biomass from a bioreactor,Cultivation of microorganisms in a closed system without replenishing nutrients,High-pressure culture of cells,C,easy
26,Which of the following is a primary substrate for anaerobic fermentation?,Glucose,Oxygen,Nitrogen,Carbon dioxide,A,easy
27,What is the primary function of a bioreactor agitator?,Heating the bioreactor,Cooling the bioreactor,Mixing the contents of the bioreactor,Providing oxygen to the bioreactor,C,easy
28,Which of the following is a common downstream process in biochemical engineering?,Fermentation,Filtration,Cell culture,Bioreactor design,B,easy
