Qid,Qustion,A,B,C,D,Answer,Level
1,Which of the following is defined as the study of the mechanics of living organisms?,Biotechnology,Biomechanics,Biochemistry,Biophysics,b,easy
2,What is the unit of force in the International System of Units (SI)?,Newton (N),Joule (J),Pascal (Pa),Watt (W),a,easy
3,Which law of motion states that an object will remain at rest or in uniform motion unless acted upon by an external force?,Newton's First Law,Newton's Second Law,Newton's Third Law,Law of Universal Gravitation,a,easy
4,Which of the following is an example of a longitudinal mechanical wave?,Sound wave,Light wave,Water wave,Radio wave,a,easy
5,What is the term for the study of forces and their effects on the human body in motion or at rest?,Kinesiology,Physiology,Biophysics,Anatomy,a,easy
6,What is the formula for calculating force?,Force = Mass × Acceleration,Force = Mass × Velocity,Force = Distance / Time,Force = Mass × Gravity,a,easy
7,Which of the following is a measure of the resistance of an object to changes in its rotational motion?,Mass,Weight,Torque,Acceleration,c,easy
8,Which part of the human body is primarily responsible for the production of red blood cells?,Liver,Kidneys,Spleen,Bone marrow,d,easy
9,What is the term for the study of the mechanical aspects of living organisms and their interactions with external forces?,Biomechanics,Biochemistry,Biophysics,Biology,a,easy
10,Which of the following joints is classified as a hinge joint?,Shoulder joint,Elbow joint,Hip joint,Wrist joint,b,easy
11,What is the formula for calculating pressure?,Pressure = Force × Area,Pressure = Force / Area,Pressure = Mass × Acceleration,Pressure = Mass / Volume,b,easy
12,Which of the following is an example of a non-contact force?,Frictional force,Tension force,Gravitational force,Magnetic force,d,easy
13,Which type of lever has the fulcrum located between the effort force and the resistance force?,First-class lever,Second-class lever,Third-class lever,Fourth-class lever,a,easy
14,Which of the following is an example of a pulley?,Screwdriver,Wheel and axle,Elevator,Nutcracker,c,easy
15,What is the study of the structure and function of biological systems at the molecular and cellular levels?,Physiology,Biomechanics,Molecular biology,Anatomy,c,easy
16,Which of the following is a unit of torque?,Newton (N),Joule (J),Pascal (Pa),Newton-meter (Nm),d,easy
17,What is the term for the point around which a lever rotates or pivots?,Axis,Force,Fulcrum,Resistance,c,easy
18,Which of the following is a type of friction that opposes the motion of an object moving through a fluid?,Static friction,Kinetic friction,Rolling friction,Fluid friction,d,easy
19,What is the primary function of tendons in the human body?,Transmitting nerve impulses,Storing energy,Attaching muscle to bone,Cushioning joints,c,easy
20,Which of the following is an example of a second-class lever in the human body?,Elbow joint,Ankle joint,Knee joint,Hip joint,d,easy
21,Which of the following is the correct definition of impulse?,The rate of change of momentum,The change in kinetic energy,The product of force and time,The resistance to motion,c,easy
22,Which of the following is an example of a first-class lever in the human body?,Elbow joint,Ankle joint,Knee joint,Neck joint,d,easy
23,What is the study of the mechanical properties of biological tissues?,Biomechanics,Biophysics,Biochemistry,Histology,a,easy
24,Which of the following is an example of a third-class lever in the human body?,Elbow joint,Ankle joint,Knee joint,Hip joint,a,easy
25,Which of the following is a measure of the resistance of an object to changes in its linear motion?,Mass,Weight,Torque,Momentum,a,easy
26,What is the term for the study of forces acting on and within the body during movement?,Biomechanics,Physiology,Kinesiology,Anatomy,c,easy
27,Which of the following is an example of a wheel and axle?,Door knob,Bicycle wheel,Seesaw,Scissors,b,easy
28,Which of the following is a measure of the amount of matter in an object?,Mass,Weight,Volume,Density,a,easy
29,What is the primary function of tendons in the human body?,Transmitting nerve impulses,Storing energy,Attaching muscle to bone,Cushioning joints,c,easy
30,Which of the following is an example of a second-class lever in the human body?,Elbow joint,Ankle joint,Knee joint,Hip joint,d,easy
31,Which of the following is the correct definition of impulse?,The rate of change of momentum,The change in kinetic energy,The product of force and time,The resistance to motion,c,easy
32,Which of the following is an example of a first-class lever in the human body?,Elbow joint,Ankle joint,Knee joint,Neck joint,d,easy
33,What is the study of the mechanical properties of biological tissues?,Biomechanics,Biophysics,Biochemistry,Histology,a,easy
34,Which of the following is an example of a third-class lever in the human body?,Elbow joint,Ankle joint,Knee joint,Hip joint,a,easy
35,Which of the following is a measure of the resistance of an object to changes in its linear motion?,Mass,Weight,Torque,Momentum,a,easy
36,What is the term for the study of forces acting on and within the body during movement?,Biomechanics,Physiology,Kinesiology,Anatomy,c,easy
37,Which of the following is an example of a wheel and axle?,Door knob,Bicycle wheel,Seesaw,Scissors,b,easy
38,Which of the following is a measure of the amount of matter in an object?,Mass,Weight,Volume,Density,a,easy
39,What is the primary function of cartilage in the human body?,Providing support and protection,Transmitting nerve impulses,Storing energy,Facilitating muscle contraction,a,easy
40,Which of the following is an example of a compound machine?,Lever,Pulley,Wheelbarrow,Inclined plane,c,easy
41,What is the SI unit of force?,Newton (N),Joule (J),Watt (W),Pascal (Pa),a,easy
42,Which of the following is an example of an inclined plane?,Screwdriver,Ramp,Axe,Wheelbarrow,b,easy
43,What is the term for the study of the mechanical properties of bones?,Biomechanics,Osteology,Histology,Anatomy,b,easy
44,Which of the following is the correct formula for calculating work?,Work = Force × Distance,Work = Force × Time,Work = Mass × Acceleration,Work = Energy / Time,a,easy
45,What is the term for the force that opposes the relative motion of surfaces in contact?,Tension,Friction,Torque,Gravity,b,easy
