id,question,a,b,c,d,answer,level
1,What does DBMS stand for?,Database Management System,Data Backup and Management System,Digital Business Management Software,Data Business Management System,a,easy
2,Which of the following is not a type of DBMS?,Relational DBMS,Hierarchical DBMS,NoSQL DBMS,Python DBMS,d,easy
3,Which DBMS model uses tables to represent data and relationships?,Hierarchical model,Network model,Relational model,Object-oriented model,c,easy
4,"In a relational database, what is a tuple?",A column in a table,A row in a table,A constraint on a table,An index on a table,b,easy
5,Which component of DBMS ensures the security and integrity of data?,Query Processor,Data Dictionary,Transaction Manager,Storage Manager,c,easy
6,Which SQL command is used to retrieve data from a database?,INSERT,SELECT,UPDATE,DELETE,b,easy
7,Which clause is used in SQL to filter rows based on a specified condition?,GROUP BY,ORDER BY,WHERE,HAVING,c,easy
8,Which of the following is a relational database management system?,MongoDB,MySQL,Cassandra,Redis,b,easy
9,Which type of relationship is represented by foreign keys in a relational database?,One-to-One,One-to-Many,Many-to-One,Many-to-Many,b,easy
10,Which normal form ensures that there are no repeating groups in a relation?,First Normal Form (1NF),Second Normal Form (2NF),Third Normal Form (3NF),Boyce-Codd Normal Form (BCNF),a,easy
11,Which SQL command is used to modify existing data in a database?,ALTER,MODIFY,UPDATE,CHANGE,c,easy
12,"Which type of join returns all rows from both tables, joining records where available?",INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL OUTER JOIN,d,easy
13,Which of the following is not a component of a database schema?,Tables,Queries,Views,Indexes,b,easy
14,Which SQL keyword is used to retrieve unique records from a table?,DISTINCT,UNIQUE,UNIQUEVALS,DISTINCTROW,a,easy
15,Which constraint enforces that a column cannot contain NULL values?,UNIQUE,NOT NULL,PRIMARY KEY,FOREIGN KEY,b,easy
16,Which SQL command is used to remove a table from a database?,REMOVE TABLE,DELETE TABLE,DROP TABLE,DESTROY TABLE,c,easy
17,Which of the following is not a type of database index?,B-tree index,Bitmap index,Hash index,Sequence index,d,easy
18,Which SQL command is used to add a new row to a table?,ADD ROW,INSERT ROW,CREATE ROW,NEW ROW,b,easy
19,Which clause is used in SQL to sort the result set in ascending or descending order?,ORDER BY,SORT BY,GROUP BY,HAVING BY,a,easy
20,Which database model represents data as a collection of objects and their relationships?,Hierarchical model,Network model,Relational model,Object-oriented model,d,easy
21,Which SQL function is used to count the number of rows in a table?,TOTAL(),COUNT(),SUM(),AVG(),b,easy
22,Which of the following is not a valid SQL data type?,INTEGER,BOOLEAN,REAL,CHARACTER VARYING,b,easy
