Qid,Questions,A,B,C,D,Options,level
1,What is an Embedded System?,A system designed for specific tasks,A system with high processing capabilities,A system that can be easily modified,A system that requires external components for operation,A,Easy
2,Which of the following is not a characteristic of an Embedded System?,Low power consumption,High reliability,General-purpose usage,Real-time operation,C,Easy
3,What is the primary function of an RTOS (Real-Time Operating System) in an embedded system?,To increase power consumption,To improve reliability,To schedule tasks and manage resources,To simplify software development,C,Easy
4,Which programming language is commonly used for embedded systems development?,Java,C++,Python,HTML,B,Easy
5,What does "RAM" stand for in the context of Embedded Systems?,Readable Access Memory,Random Access Memory,Read-After-Write Memory,Read-Alongside Memory,B,Easy
6,Which of the following is not a type of Embedded System?,Automotive Embedded Systems,Industrial Embedded Systems,Desktop Computers,Medical Embedded Systems,C,Easy
7,Which component of an Embedded System is responsible for converting analog signals to digital signals?,ADC (Analog-to-Digital Converter),DAC (Digital-to-Analog Converter),MCU (Microcontroller Unit),CPU (Central Processing Unit),A,Easy
8,Which of the following is an example of a Real-Time Embedded System?,Home thermostat,Personal computer,Smartphone,Digital camera,A,Easy
9,What is the purpose of a bootloader in an Embedded System?,To load operating system files,To initialize hardware components,To facilitate communication with peripherals,To load and start the operating system,D,Easy
10,Which of the following is not a commonly used communication protocol in Embedded Systems?,USB (Universal Serial Bus),TCP/IP (Transmission Control Protocol/Internet Protocol),SPI (Serial Peripheral Interface),SQL (Structured Query Language),D,Easy
11,What is the primary role of an Interrupt Controller in an Embedded System?,To handle errors in the system,To manage the flow of interrupts,To control the timing of tasks,To execute instructions sequentially,B,Easy
12,Which of the following is a non-volatile memory type commonly used in Embedded Systems?,RAM (Random Access Memory),ROM (Read-Only Memory),SRAM (Static Random Access Memory),DRAM (Dynamic Random Access Memory),B,Easy
13,What is the purpose of the watchdog timer in an Embedded System?,To monitor and restart the system in case of a malfunction,To regulate the speed of the CPU,To synchronize data transfer between devices,To provide secure access to the system,A,Easy
14,Which of the following is an example of an Embedded System used in consumer electronics?,Microwave oven,Traffic light controller,Industrial robot,CNC machine,A,Easy
15,Which of the following is not a common power-saving technique used in Embedded Systems?,Dynamic Voltage Scaling,Clock Gating,Instruction Pipelining,Power Gating,C,Easy
16,Which of the following is an example of an input device in an Embedded System?,LCD display,Keypad,LED indicator,Motor,B,Easy
17,Which of the following is not a characteristic of a Real-Time Operating System (RTOS)?,Multitasking capability,Deterministic behavior,Low latency,High resource utilization,D,Easy
18,What does "UART" stand for in the context of Embedded Systems?,Universal Analog Receiver and Transmitter,Universal Asynchronous Receiver and Transmitter,Unified Analog Receiver and Transmitter,Unified Asynchronous Receiver and Transmitter,B,Easy
