id,question,a,b,c,d,answer,level
1,What is the primary purpose of a geotechnical investigation?,To design structural components,To determine soil properties at a site,To estimate construction costs,To monitor groundwater levels,b,easy
2,"What does the term ""bearing capacity"" refer to in geotechnical engineering?",The ability of a soil to support a foundation without failure,The weight of soil excavated from a site,The rate of settlement of a structure,The permeability of a soil layer,a,easy
3,Which type of soil is composed of particles larger than 0.075 mm in diameter?,Clay,Silt,Sand,Gravel,c,easy
4,What is the term for the process by which soil particles settle and rearrange themselves due to the application of a load?,Consolidation,Compaction,Erosion,Liquefaction,a,easy
5,Which factor does not influence the shear strength of a soil?,Soil type,Moisture content,Grain size distribution,Atterberg limits,d,easy
6,"What does the term ""angle of internal friction"" represent in soil mechanics?",The maximum angle at which a soil slope can be stable,The angle between the horizontal plane and the shear stress line,The angle at which soil particles repel each other,The maximum angle at which a soil can be sheared without failure,d,easy
7,Which soil type has the smallest particle size?,Clay,Silt,Sand,Gravel,a,easy
8,What is the term for the reduction in soil volume due to the expulsion of water under load?,Swelling,Settlement,Consolidation,Liquefaction,c,easy
9,Which test is commonly used to determine the moisture content of a soil sample?,Proctor compaction test,Atterberg limits test,Permeability test,Moisture-density relationship test,b,easy
10,What is the purpose of a sieve analysis in geotechnical engineering?,To determine the grain size distribution of soil,To measure the water content of soil,To assess the compressibility of soil,To evaluate the strength of soil,a,easy
11,Which soil type is characterized by high compressibility and low shear strength when saturated?,Clay,Silt,Sand,Gravel,a,easy
12,"What does the term ""permeability"" refer to in soil mechanics?",The ability of a soil to retain water,The rate at which water flows through soil,The volume change of soil under load,The resistance of soil to shear stresses,b,easy
13,Which soil property is most closely related to its ability to bear loads without excessive settlement?,Cohesion,Angle of internal friction,Porosity,Permeability,b,easy
14,What is the term for the capacity of a soil to transmit water?,Porosity,Permeability,Shear strength,Compressibility,b,easy
15,Which type of soil is highly susceptible to volume change due to changes in moisture content?,Clay,Silt,Sand,Gravel,a,easy
16,What is the primary cause of soil erosion?,Mechanical loading,Chemical weathering,Water or wind action,Soil compaction,c,easy
17,What is the term for the process of removing excess water from saturated soil?,Dewatering,Consolidation,Compaction,Liquefaction,a,easy
