Qid,Questions,A,B,C,D,Options,Level
1,Which of the following is not a primary classification of materials?,Metals,Ceramics,Polymers,Fruits,D,Easy
2,What is the basic building block of a crystalline material?,Molecule,Atom,Electron,Proton,B,Easy
3,Which of the following is a characteristic property of ceramics?,High electrical conductivity,High ductility,Brittle fracture behavior,Low melting point,C,Easy
4,What is the most abundant metal in the Earth's crust?,Iron,Aluminum,Copper,Gold,B,Easy
5,Which type of bond is predominant in metallic materials?,Ionic,Covalent,Metallic,Van der Waals,C,Easy
6,What is the primary purpose of alloying in metals?,To decrease hardness,To increase ductility,To enhance specific properties,To decrease density,C,Easy
7,Which of the following is an example of a polymer material?,Steel,Glass,Polyethylene,Aluminum oxide,C,Easy
8,What is the general term for the ability of a material to deform under mechanical stress?,Brittleness,Elasticity,Ductility,Hardness,B,Easy
9,Which of the following is a ferrous alloy?,Brass,Bronze,Stainless steel,Aluminum alloy,C,Easy
10,What is the primary constituent of glass?,Silica,Carbon,Iron,Aluminum,A,Easy
11,What type of bonds do polymers primarily exhibit?,Metallic,Covalent,Ionic,Hydrogen,B,Easy
12,Which of the following materials is an example of a semiconductor?,Copper,Silicon,Aluminum,Nickel,B,Easy
13,What is the process of converting a metal into a thin sheet called?,Casting,Forging,Extrusion,Rolling,D,Easy
14,Which of the following is a common additive used to strengthen steel?,Lead,Zinc,Carbon,Silver,C,Easy
15,What property of a material determines its ability to absorb energy without fracture?,Hardness,Toughness,Elasticity,Ductility,B,Easy
16,What is the primary component of stainless steel that provides corrosion resistance?,Chromium,Nickel,Iron,Titanium,A,Easy
17,What is the process of converting a solid directly into a vapor without passing through the liquid phase?,Evaporation,Sublimation,Condensation,Fusion,B,Easy
18,What is the most commonly used method for shaping ceramics?,Extrusion,Casting,Forging,Machining,A,Easy
19,Which of the following materials is a good electrical insulator?,Copper,Aluminum,Silicon,Glass,D,Easy
20,What is the primary purpose of a heat treatment process in metallurgy?,To increase electrical conductivity,To improve mechanical properties,To decrease density,To enhance optical properties,B,Easy
21,What type of bond holds together atoms within a molecule of a polymer?,Ionic,Metallic,Covalent,Hydrogen,C,Easy
22,Which of the following is a common method for strengthening polymers?,Annealing,Quenching,Plasticizing,Reinforcement,D,Easy
23,What is the primary constituent of brass?,Copper and zinc,Copper and tin,Copper and nickel,Copper and iron,A,Easy
24,What property of a material determines its ability to withstand scratching or abrasion?,Hardness,Toughness,Elasticity,Ductility,A,Easy
25,Which of the following materials is an example of a composite?,Aluminum,Glass,Concrete,Copper,C,Easy
26,What is the primary purpose of quenching in the heat treatment process of metals?,To soften the metal,To increase ductility,To improve hardness,To enhance electrical conductivity,C,Easy
27,Which of the following is a common method for shaping polymers?,Casting,Forging,Extrusion,Machining,C,Easy
28,What is the primary constituent of bronze?,Copper and zinc,Copper and tin,Copper and nickel,Copper and iron,B,Easy
29,What property of a material refers to its ability to return to its original shape after deformation?,Brittleness,Elasticity,Ductility,Toughness,B,Easy
30,Which of the following is a common method for shaping metals?,Sintering,Polymerization,Forging,Polymer blending,C,Easy
31,What is the primary constituent of concrete?,Sand,Cement,Water,Gravel,B,Easy
32,What is the primary purpose of tempering in the heat treatment process of metals?,To soften the metal,To increase ductility,To improve toughness,To enhance electrical conductivity,C,Easy
33,Which of the following materials is commonly used in dental fillings due to its biocompatibility?,Stainless steel,Aluminum,Gold,Titanium,D,Easy
34,What is the primary purpose of annealing in the heat treatment process of metals?,To soften the metal,To increase ductility,To improve hardness,To enhance electrical conductivity,A,Easy
35,Which of the following is a common method for shaping ceramics?,Extrusion,Casting,Forging,Machining,A,Easy
36,What is the primary constituent of Portland cement?,Calcium carbonate,Silica,Calcium oxide,Iron oxide,C,Easy
37,What is the primary purpose of doping in semiconductor materials?,To increase electrical resistance,To decrease electrical conductivity,To introduce impurities and alter conductivity,To enhance optical properties,C,Easy
38,Which of the following materials is commonly used as a thermal insulator?,Aluminum,Copper,Glass,Ceramic,D,Easy
39,What property of a material refers to its ability to withstand a sudden impact without fracturing?,Hardness,Toughness,Elasticity,Ductility,B,Easy
40,Which of the following is an example of a shape memory alloy?,Stainless steel,Aluminum,Nitinol,Titanium,C,Easy
41,What is the primary purpose of reinforcement in composite materials?,To increase electrical conductivity,To decrease density,To improve mechanical properties,To enhance optical properties,C,Easy
42,Which of the following is a common method for shaping polymers?,Casting,Forging,Extrusion,Machining,C,Easy
43,What is the primary constituent of fiberglass?,Silicon dioxide,Polyethylene,Polyvinyl chloride,Polystyrene,A,Easy
44,What property of a material refers to its ability to deform plastically under tensile stress?,Hardness,Toughness,Elasticity,Ductility,D,Easy
45,Which of the following is an example of a composite material?,Aluminum,Glass,Concrete,Copper,C,Easy
46,What is the primary purpose of quenching in the heat treatment process of metals?,To soften the metal,To increase ductility,To improve hardness,To enhance electrical conductivity,C,Easy
47,What property of a material refers to its ability to absorb and store energy when subjected to mechanical deformation?,Hardness,Toughness,Elasticity,Ductility,B,Easy
48,Which of the following materials is commonly used as a thermal conductor?,Rubber,Wood,Copper,Plastic,C,Easy
49,What is the primary purpose of tempering in the heat treatment process of metals?,To soften the metal,To increase ductility,To improve toughness,To enhance electrical conductivity,C,Easy
50,Which of the following is a common method for shaping ceramics?,Extrusion,Casting,Forging,Machining,A,Medium
51,What is the process by which a material undergoes a change in its microstructure and properties due to exposure to high temperatures called?,Tempering,Annealing,Hardening,Quenching,B,Medium
52,Which of the following properties of materials is related to their resistance to indentation or scratching?,Ductility,Hardness,Toughness,Elasticity,B,Medium
53,What type of crystal defect occurs when atoms are missing from a crystal lattice site?,Vacancy defect,Interstitial defect,Line defect,Grain boundary defect,A,Medium
54,What is the name of the process used to shape polymers into specific forms by forcing the material through a die?,Extrusion,Compression molding,Injection molding,Sintering,A,Medium
55,Which of the following materials is commonly used as a thermal insulator?,Aluminum,Copper,Glass,Steel,C,Medium
56,What type of bond is formed between adjacent polymer chains?,Ionic bond,Metallic bond,Covalent bond,Van der Waals bond,D,Medium
57,Which of the following materials is a semiconductor?,Copper,Aluminum,Silicon,Gold,C,Medium
58,What is the primary purpose of adding alloying elements to metals?,To increase density,To improve corrosion resistance,To decrease ductility,To enhance mechanical properties,D,Medium
