id,question,a,b,c,d,answer,level
1,What is the SI unit of force?,N,J,W,Pa,a,easy
2,What is the formula for calculating acceleration?,a = v / t,a = d / t,a = (v_f - v_i) / t,a = F / m,c,easy
3,What is the SI unit of velocity?,m/s,N,J,Pa,a,easy
4,"Which of the following represents the correct relationship between force, mass, and acceleration?",F = m * a,F = m / a,F = m + a,F = a / m,a,easy
5,What is the formula for calculating displacement?,s = v * t,s = 1/2 * a * t^2,s = (v_i + v_f) / 2 * t,s = v_i * t + 1/2 * a * t^2,d,easy
6,What is the formula for calculating momentum?,p = m * v,p = F,p = m * v^2 / 2,p = F / t,a,easy
7,What is the SI unit of power?,J,N,W,Pa,c,easy
8,Which of the following represents the conservation of mechanical energy in a system?,Total energy is constant in an isolated system,"Energy cannot be created or destroyed, only transformed",The work done by non-conservative forces is equal to the change in kinetic energy,The rate of change of momentum of an object is directly proportional to the force applied,a,easy
9,What is the formula for calculating kinetic energy?,KE = m * v^2 / 2,KE = m * g * h,KE = m * h,KE = p,a,easy
10,What is the formula for calculating gravitational potential energy?,PE = m * v,PE = m * g * h,PE = m * v^2 / 2,PE = m * v / t,b,easy
11,What is the SI unit of power?,J,N,W,Pa,c,easy
12,Which of the following represents the conservation of mechanical energy in a system?,Total energy is constant in an isolated system,"Energy cannot be created or destroyed, only transformed",The work done by non-conservative forces is equal to the change in kinetic energy,The rate of change of momentum of an object is directly proportional to the force applied,a,easy
13,What is the formula for calculating kinetic energy?,KE = m * v^2 / 2,KE = m * g * h,KE = m * h,KE = p,a,easy
14,What is the formula for calculating gravitational potential energy?,PE = m * v,PE = m * g * h,PE = m * v^2 / 2,PE = m * v / t,b,easy
15,What is the formula for calculating work done?,W = F * d,W = F / d,W = F * v,W = m * v^2 / 2,a,easy
16,What is the formula for calculating power?,P = W / t,P = F * d,P = F / d,P = m * v^2 / 2,a,easy
17,"Which of the following represents the correct relationship between force, mass, and acceleration?",F = m * a,F = m / a,F = m + a,F = a / m,a,easy
18,What is the formula for calculating displacement?,s = v * t,s = 1/2 * a * t^2,s = (v_i + v_f) / 2 * t,s = v_i * t + 1/2 * a * t^2,d,easy
19,What is the formula for calculating velocity?,v = s / t,v = a * t,v = s * t,v = F / m,a,easy
