id,question,a,b,c ,d ,answer,level
1,What does TCP stand for in computer networking?,Transmission Control Protocol,Transfer Control Protocol,Transfer Control Port,Transmission Connection Protocol,a,easy
2,Which device is used to connect multiple computers in a LAN?,Hub,Modem,Router,Switch,d,easy
3,Which of the following is used to uniquely identify a device on a network?,IP Address,MAC Address,URL,DNS,b,easy
4,What is the primary function of a router in a network?,To connect devices within the same LAN,To connect multiple networks together,To connect computers to the internet,To amplify signals within a network,b,easy
5,Which protocol is used to send emails over the internet?,HTTP,FTP,SMTP,SNMP,c,easy
6,What is the purpose of DNS in networking?,To encrypt data transmitted over the network,To convert domain names to IP addresses,To manage network traffic and bandwidth,To connect computers to the internet,b,easy
7,Which of the following topologies connects all devices in a linear manner?,Star,Ring,Bus,Mesh,c,easy
8,What is the maximum speed of data transmission over a standard Ethernet connection?,10 Mbps,100 Mbps,1 Gbps,10 Gbps,c,easy
9,Which layer of the OSI model is responsible for ensuring reliable data transmission?,Physical Layer,Data Link Layer,Transport Layer,Network Layer,c,easy
10,Which device is used to extend the range of a wireless network?,Router,Modem,Access Point,Switch,c,easy
11,Which layer of the OSI model is responsible for logical addressing?,Physical Layer,Data Link Layer,Network Layer,Transport Layer,c,easy
12,Which of the following devices operates at the Data Link Layer of the OSI model?,Hub,Router,Switch,NIC (Network Interface Card),c,easy
13,What is the purpose of ARP (Address Resolution Protocol) in networking?,To translate IP addresses to MAC addresses,To translate domain names to IP addresses,To encrypt data transmitted over the network,To establish secure connections between devices,a,easy
14,Which type of cable is commonly used to connect a computer to a router?,Coaxial cable,Fiber optic cable,Ethernet cable,USB cable,c,easy
15,What is the default subnet mask for a Class C IP address?,255.0.0.0,255.255.0.0,255.255.255.0,255.255.255.255,c,easy
16,Which of the following protocols is used for secure communication over a network?,FTP (File Transfer Protocol),HTTP (Hypertext Transfer Protocol),HTTPS (Hypertext Transfer Protocol Secure),SNMP (Simple Network Management Protocol),c,easy
17,What is the maximum number of hosts that can be addressed in a Class B network?,256,"65,536","1,67,77,216","4,29,49,67,296",b,easy
18,Which of the following is NOT a valid IP address?,192.168.1.256,10.0.0.1,172.16.0.0,255.255.255.0,a,easy
19,What is the purpose of DHCP (Dynamic Host Configuration Protocol) in networking?,To assign static IP addresses to devices,To translate domain names to IP addresses,To dynamically assign IP addresses to devices on a network,To establish secure connections between devices,c,easy
20,Which of the following topologies connects all devices to a central point?,Bus,Star,Ring,Mesh,b,easy
21,What is the default port number for HTTP (Hypertext Transfer Protocol)?,80,443,21,25,a,easy
22,Which layer of the OSI model is responsible for error detection and correction?,Transport Layer,Network Layer,Data Link Layer,Physical Layer,c,easy
23,Which of the following protocols is used for sending emails?,SMTP (Simple Mail Transfer Protocol),HTTP (Hypertext Transfer Protocol),FTP (File Transfer Protocol),SNMP (Simple Network Management Protocol),a,easy
24,What is the purpose of NAT (Network Address Translation)?,To translate IP addresses to MAC addresses,To translate public IP addresses to private IP addresses,To encrypt data transmitted over the network,To establish secure connections between devices,b,easy
25,Which of the following devices operates at the Physical Layer of the OSI model?,Hub,Router,Switch,NIC (Network Interface Card),d,easy
26,What is the purpose of a firewall in networking?,To amplify signals within a network,To connect devices within the same LAN,To prevent unauthorized access to or from a private network,To convert domain names to IP addresses,c,easy
27,Which of the following is NOT a valid IPv6 address?,2001:0db8:85a3:0000:0000:8a2e:0370:7334,fe80::226:55ff:fe44:1234,192.168.1.1,2001:db8::1,c,easy
28,What is the purpose of a modem in networking?,To connect multiple networks together,To connect computers to the internet,To connect devices within the same LAN,To amplify signals within a network,b,easy
29,Which of the following is a characteristic of a peer-to-peer network?,Centralized control,Hierarchical structure,Decentralized control,Limited scalability,c,easy
30,What is the purpose of ICMP (Internet Control Message Protocol)?,To translate domain names to IP addresses,To manage network traffic and bandwidth,To establish secure connections between devices,To send error messages and operational information,d,easy
31,Which of the following is NOT a commonly used wireless networking standard?,IEEE 802.11a,IEEE 802.11b,IEEE 802.11g,IEEE 802.11n,a,easy
32,What is the purpose of VLANs (Virtual Local Area Networks)?,To extend the range of a wireless network,To connect multiple networks together,To logically segment a physical LAN into multiple virtual LANs,To manage network traffic and bandwidth,c,easy
33,Which protocol is used for securely transferring files over a network?,FTP (File Transfer Protocol),HTTP (Hypertext Transfer Protocol),SMTP (Simple Mail Transfer Protocol),SNMP (Simple Network Management Protocol),a,easy
34,What is the purpose of a proxy server in networking?,To translate domain names to IP addresses,To filter and forward network traffic between clients and servers,To connect devices within the same LAN,To establish secure connections between devices,b,easy
35,Which of the following is NOT a type of network topologies?,Bus,Star,Ring,Loop,d,easy
