Qid,Questions,A,B,C,D,Options,Level
1,What is the primary purpose of signal processing?,To generate signals,To analyze and modify signals,To transmit signals,To store signals,B,Easy
2,Which of the following is an example of a continuous-time signal?,Digital audio,Image file,Analog audio waveform,Text document,C,Easy
3,What is the unit of frequency commonly used in signal processing?,Hertz (Hz),Kilobytes (KB),Watts (W),Volts (V),A,Easy
4,What is the process of converting an analog signal into a digital form called?,Amplification,Modulation,Analog-to-digital conversion (ADC),Digital-to-analog conversion (DAC),C,Easy
5,Which of the following is a common technique used for noise reduction in signals?,Amplification,Modulation,Filtering,Demodulation,C,Easy
6,What does the term "sampling rate" refer to in signal processing?,The rate at which a signal is transmitted,The rate at which a signal is digitized,The rate at which a signal is modulated,The rate at which a signal is amplified,B,Easy
7,Which of the following is used to represent discrete-time signals?,Continuous functions,Continuous lines,Discrete points,Digital images,C,Easy
8,What is the purpose of signal filtering?,To increase signal amplitude,To remove unwanted frequency components,To amplify noise,To decrease signal bandwidth,B,Easy
9,Which of the following is an example of a low-pass filter?,Band-stop filter,Band-pass filter,High-pass filter,Butterworth filter,D,Easy
10,What does the frequency domain representation of a signal show?,Amplitude of the signal over time,Phase of the signal over time,Frequency content of the signal,Time-domain characteristics of the signal,C,Easy
11,Which of the following operations is commonly used to shift a signal in the time domain?,Convolution,Modulation,Differentiation,Time delay,D,Easy
12,What is the Nyquist-Shannon sampling theorem used for?,To determine the frequency content of a signal,To analyze the time-domain characteristics of a signal,To calculate the minimum sampling rate required for faithful signal reconstruction,To estimate the noise level in a signal,C,Easy
13,Which of the following is true about the Fourier Transform?,It converts a signal from the time domain to the frequency domain,It converts a signal from the frequency domain to the time domain,It amplifies the signal,It removes noise from the signal,A,Easy
14,What is the main goal of signal reconstruction in signal processing?,To increase signal amplitude,To remove noise from the signal,To accurately represent the original signal from its samples,To decrease signal bandwidth,C,Easy
15,Which of the following techniques is used to remove unwanted frequency components from a signal?,Modulation,Demodulation,Filtering,Amplification,C,Easy
16,What is the frequency range of human hearing?,0-20 Hz,"20-20,000 Hz","20,000-20,000,000 Hz","20,000,000-20,000,000,000 Hz",B,Easy
17,What does the term "bandwidth" refer to in signal processing?,The range of frequencies occupied by a signal,The maximum amplitude of a signal,The number of samples per unit time,The duration of a signal,A,Easy
18,What is the unit of amplitude commonly used in signal processing?,Hertz (Hz),Decibel (dB),Volt (V),Pascal (Pa),C,Easy
19,Which of the following is an example of a discrete-time signal?,Analog audio waveform,Digital image,Continuous function,Text document,B,Easy
20,What is the purpose of downsampling a signal?,To increase the sampling rate,To decrease the sampling rate,To increase the signal amplitude,To reduce noise in the signal,B,Easy
21,Which of the following techniques is used to combine two signals into a single signal?,Modulation,Demodulation,Convolution,Differentiation,C,Easy
22,What does the term "convolution" refer to in signal processing?,Multiplying two signals together,Adding two signals together,Modifying the amplitude of a signal,Combining two signals using a mathematical operation,D,Easy
