Qid,Question,A,B,C,D,Answer,Level
1,Which of the following is a characteristic of a bipolar junction transistor (BJT)?,High input impedance,Low output impedance,Exponential input-output relationship,Linear input-output relationship,c,easy
2,What is the primary function of a voltage divider circuit?,To amplify signals,To regulate voltage,To divide voltage,To control current,c,easy
3,Which of the following is NOT a characteristic of an ideal operational amplifier (Op-amp)?,Infinite bandwidth,Infinite slew rate,Finite open-loop gain,Zero input bias current,c,easy
4,What is the primary function of a transistor in common emitter configuration?,Voltage amplification,Current regulation,Impedance matching,Voltage division,a,easy
5,Which of the following statements is true about a Schottky diode?,It has a high forward voltage drop,It is a type of rectifier diode,It has a fast recovery time,It is commonly used for voltage regulation,c,easy
6,What is the primary function of a coupling capacitor in an amplifier circuit?,To provide DC isolation between stages,To provide AC coupling between stages,To regulate voltage,To amplify signals,b,easy
7,Which of the following is true about a Darlington pair transistor configuration?,It has a high input impedance,It has a high output impedance,It provides high current gain,It has a low voltage gain,c,easy
8,What is the function of a snubber circuit?,To protect against voltage surges,To provide impedance matching,To regulate current,To filter out high-frequency noise,a,easy
9,Which of the following components is commonly used as a voltage reference in analog-to-digital converters (ADCs)?,Resistor,Capacitor,Zener diode,Inductor,c,easy
10,What is the purpose of negative feedback in an amplifier circuit?,To increase gain,To decrease gain,To reduce distortion,To increase output impedance,c,easy
11,Which of the following is NOT a type of amplifier?,Differential amplifier,Push-pull amplifier,Comparator amplifier,Class D amplifier,c,easy
12,What is the primary function of a choke in a power supply filter circuit?,To block DC current,To block AC current,To smooth out voltage fluctuations,To provide impedance matching,c,easy
13,Which of the following components is commonly used as a switch in digital circuits?,Capacitor,Transistor,Inductor,Resistor,b,easy
14,Which type of amplifier operates in the linear region for the entire input signal cycle?,Class A amplifier,Class B amplifier,Class AB amplifier,Class C amplifier,a,easy
15,What is the primary function of a voltage comparator?,To amplify signals,To compare two input voltages and produce a digital output,To regulate voltage,To store energy,b,easy
16,Which of the following components is commonly used to generate a square wave output?,Capacitor,Diode,Operational amplifier,Astable multivibrator circuit,d,easy
17,What is the main purpose of a voltage multiplier circuit?,To increase current,To decrease voltage,To generate a higher DC voltage from a lower input voltage,To regulate current,c,easy
18,Which of the following is true about a common collector (emitter follower) transistor configuration?,It provides voltage gain,It provides current gain,It has a high input impedance,It has a low output impedance,b,easy
19,What is the function of a varactor diode?,To store energy,To amplify signals,To regulate voltage,To vary its capacitance with applied voltage,d,easy
20,What is the purpose of a phase-locked loop (PLL) circuit?,To generate a stable output frequency,To amplify signals,To regulate voltage,To store energy,a,easy
21,Which of the following is a characteristic of a common gate transistor configuration?,It provides voltage gain,It provides current gain,It has a high input impedance,It has a low output impedance,c,easy
22,What is the function of a voltage divider bias circuit in a transistor amplifier?,To provide DC biasing to the transistor,To amplify signals,To regulate voltage,To store energy,a,easy
23,What is the purpose of a resistor in a circuit?,To store energy,To amplify signals,To regulate voltage,To limit current,d,easy
24,Which of the following components is used for signal amplification?,Capacitor,Diode,Transistor,Inductor,c,easy
25,Which of the following is a passive electronic component?,Transistor,Op-amp,Resistor,Voltage Regulator,c,easy
26,What is the unit of capacitance?,Ampere,Ohm,Farad,Volt,c,easy
27,"In a DC circuit, what happens when a capacitor is fully charged?",It blocks current flow,It conducts current,It increases resistance,It decreases voltage,a,easy
28,Which of the following components allows current flow in only one direction?,Capacitor,Inductor,Diode,Resistor,c,easy
29,What is the function of a rectifier circuit?,To convert DC to AC,To convert AC to DC,To amplify signals,To regulate voltage,b,easy
30,Which of the following is a characteristic of an ideal op-amp?,Low input impedance,High output impedance,Infinite open-loop gain,High voltage gain,c,easy
31,What is the purpose of a voltage regulator?,To convert AC to DC,To stabilize output voltage,To amplify signals,To block current flow,b,easy
32,Which of the following components stores energy in a magnetic field?,Capacitor,Diode,Transistor,Inductor,d,easy
33,What is the SI unit of resistance?,Ohm,Farad,Ampere,Volt,a,easy
34,"In a series circuit, how does the total resistance change as more resistors are added?",Increases,Decreases,Remains the same,Depends on the value of resistors,a,easy
35,"What does the term ""biasing"" refer to in electronics?",Filtering unwanted signals,Adjusting the operating point of a component,Amplifying signals,Regulating voltage,b,easy
36,What is the primary function of a capacitor in a circuit?,To store energy,To amplify signals,To regulate current,To control voltage,a,easy
37,Which type of diode emits light when forward biased?,Zener diode,Schottky diode,Photodiode,Light-emitting diode (LED),d,easy
