Qid,Questions,A,B,C,D,option,level
1,What does the acronym "VPN" stand for?,Virtual Personal Network,Virtual Private Network,Very Private Network,Visible Public Network,b,Easy
2,Which of the following is not a common type of malware?,Virus,Trojan,Firewall,Worm,c,Easy
3,What is the primary purpose of a firewall?,To detect and remove malware,To regulate incoming and outgoing network traffic,To encrypt data transmissions,To optimize internet speed,b,Easy
4,Which of the following is not considered personally identifiable information (PII)?,Social Security Number,Date of Birth,Mother's Maiden Name,Favorite Color,d,Easy
5,What is the main purpose of encryption?,To hide data from unauthorized users,To increase internet speed,To enhance data visibility,To bypass security measures,a,Easy
6,Which of the following is an example of a strong password?,Password123,123456,CorrectHorseBatteryStaple,Username,c,Easy
7,What is a phishing attack?,A physical break-in to a company's premises,A type of malware,An attempt to deceive individuals into revealing sensitive information,A method of encrypting data,c,Easy
8,What does the term "DDoS" stand for?,Direct Denial of Service,Distributed Denial of System,Distributed Denial of Service,Direct Denial of System,c,Easy
9,What is the purpose of multi-factor authentication (MFA)?,To increase the speed of authentication processes,To reduce the need for passwords,To add an extra layer of security by requiring multiple forms of identification,To bypass security measures,c,Easy
10,What is the main goal of a brute force attack?,To decrypt encrypted data,To bypass security measures by guessing passwords,To install malware on a system,To create a secure connection,b,Easy
11,Which of the following is a common method of social engineering?,Phishing,Encryption,Firewall,Antivirus,a,Easy
12,Which of the following is an example of a physical security measure?,Antivirus software,Biometric authentication,Firewall,Encryption,b,Easy
13,What is the purpose of a penetration test?,To test the strength of physical barriers,To identify vulnerabilities in a system or network,To encrypt data transmissions,To optimize internet speed,b,Easy
14,What is the term used to describe the practice of tricking individuals into revealing sensitive information by pretending to be a trustworthy entity?,Spoofing,Phishing,Hacking,Spamming,b,Easy
15,What is the purpose of a security policy?,To regulate incoming and outgoing network traffic,To define rules and procedures for maintaining security,To encrypt data transmissions,To optimize internet speed,b,Easy
16,Which of the following is a common authentication factor?,Something you know,Something you breathe,Something you taste,Something you hear,a,Easy
17,What is the purpose of a digital certificate?,To encrypt data transmissions,To verify the identity of a website or individual,To regulate incoming and outgoing network traffic,To optimize internet speed,b,Easy
18,What is a zero-day vulnerability?,A vulnerability that has been known for zero days,A vulnerability that has been exploited for zero days,A vulnerability that has been patched for zero days,A vulnerability that is unknown to the developer and has not been patched,d,Easy
19,What is the purpose of a security audit?,To test the strength of physical barriers,To assess compliance with security policies and regulations,To encrypt data transmissions,To optimize internet speed,b,Easy
20,Which of the following is not a common type of cyber attack?,Denial-of-Service (DoS),Man-in-the-Middle (MitM),Friendly-fire,SQL Injection,c,Easy
21,What does the term "pharming" refer to in cybersecurity?,A method of planting physical bugs in a system,A type of malware,A form of online fraud that redirects users to fake websites,A technique for bypassing authentication measures,c,Easy
22,Which of the following is a characteristic of a strong password?,Short length,Contains only letters,"Contains a combination of letters, numbers, and special characters",Easily guessable,c,Easy
23,What is a "honeypot" in the context of cybersecurity?,A type of malware,"A trap set to detect, deflect, or counteract attempts at unauthorized use of information systems",A method of encrypting data transmissions,A type of firewall,b,Easy
24,What does the term "SSL" stand for?,Secure Socket Layer,Strong Security Layer,Secure System Link,System Security Layer,a,Easy
25,What is the purpose of a security patch?,To introduce new security vulnerabilities,To remove vulnerabilities and improve security,To slow down system performance,To increase the risk of cyber attacks,b,Easy
26,What is the primary purpose of an Intrusion Detection System (IDS)?,To prevent unauthorized access to a network,To detect and alert on potential security threats,To encrypt data transmissions,To optimize internet speed,b,Easy
27,What is a common method used to prevent SQL injection attacks?,Installing antivirus software,Encrypting all data transmissions,Using parameterized queries,Disabling firewalls,c,Easy
28,Which of the following is a form of ransomware?,Trojan,Phishing,Worm,CryptoLocker,d,Easy
29,What is the purpose of data masking?,To permanently delete data from a system,To hide sensitive information by replacing it with fictional data,To encrypt data transmissions,To optimize internet speed,b,Easy
30,What is the primary goal of network segmentation?,To increase network speed,To decrease network complexity,To isolate critical assets and reduce the impact of a security breach,To bypass security measures,c,Easy
31,What is the purpose of a VPN tunnel?,To increase internet speed,"To establish a secure, encrypted connection over an unsecured network",To regulate incoming and outgoing network traffic,To optimize internet speed,b,Easy
32,Which of the following is not a common type of social engineering attack?,Phishing,Shoulder surfing,Encryption,Tailgating,c,Easy
33,What does the term "BYOD" stand for?,Bring Your Own Device,Build Your Own Defense,Bring Your Own Database,Block Your Own Data,a,Easy
34,What is the purpose of a security token?,To generate secure passwords,To bypass security measures,To add an extra layer of authentication,To encrypt data transmissions,c,Easy
35,What is the primary purpose of security awareness training?,To increase the likelihood of successful cyber attacks,To educate employees about potential security risks and best practices,To slow down system performance,To reduce the need for passwords,b,Easy
36,Which of the following is a best practice for securing a wireless network?,Disabling encryption,Using default passwords,Enabling MAC address filtering,Broadcasting the SSID,c,Easy
37,What is the purpose of an antivirus program?,To regulate incoming and outgoing network traffic,To prevent physical break-ins,To detect and remove malware from a computer system,To optimize internet speed,c,Easy
38,Which of the following is a common authentication method based on physical characteristics?,Password,PIN,Biometric authentication,Security token,c,Easy
39,What is the purpose of a security incident response plan?,To increase the likelihood of successful cyber attacks,To slow down system performance,To outline the steps to take in the event of a security breach,To reduce the need for passwords,c,Easy
40,What is the purpose of a security sandbox?,To test potentially malicious software in a controlled environment,To encrypt data transmissions,To regulate incoming and outgoing network traffic,To optimize internet speed,a,Easy
41,Which of the following is not a common type of biometric authentication?,Fingerprint recognition,Voice recognition,Password authentication,Retina scanning,c,Easy
42,What is the purpose of data loss prevention (DLP) software?,To intentionally leak sensitive information,To detect and prevent unauthorized access or transfer of sensitive information,To encrypt data transmissions,To optimize internet speed,b,Easy
43,What is the purpose of a security token?,To generate secure passwords,To bypass security measures,To add an extra layer of authentication,To encrypt data transmissions,c,Easy
44,What is the purpose of a security incident response plan?,To increase the likelihood of successful cyber attacks,To slow down system performance,To outline the steps to take in the event of a security breach,To reduce the need for passwords,c,Easy
45,What is the purpose of a security sandbox?,To test potentially malicious software in a controlled environment,To encrypt data transmissions,To regulate incoming and outgoing network traffic,To optimize internet speed,a,Easy
46,Which of the following is not a common type of biometric authentication?,Fingerprint recognition,Voice recognition,Password authentication,Retina scanning,c,Easy
47,What is the purpose of data loss prevention (DLP) software?,To intentionally leak sensitive information,To detect and prevent unauthorized access or transfer of sensitive information,To encrypt data transmissions,To optimize internet speed,b,Easy
48,What does the term "sandboxing" refer to in cybersecurity?,A secure area in a network for testing new software,A type of malware,A form of social engineering attack,A method of encrypting data transmissions,a,Easy
