Qid,Question,A,B,C,D,Answer,Level
1,What is the fundamental unit of digital data representation?,Bit,Byte,Word,Nibble,A,Easy
2,Which logic gate outputs a high signal only when all inputs are high?,AND gate,OR gate,NOT gate,XOR gate,A,Easy
3,What is the result of performing a logical AND operation between 0 and 1?,0,1,Undefined,Error,A,Easy
4,Which gate produces the complement of its input?,NOT gate,OR gate,AND gate,XOR gate,A,Easy
5,How many bits are in a byte?,4,8,16,32,B,Easy
6,Which logic gate outputs a high signal when any of its inputs are high?,OR gate,AND gate,NOT gate,XOR gate,A,Easy
7,What is the result of performing a logical OR operation between 0 and 1?,0,1,Undefined,Error,B,Easy
8,Which gate performs addition in binary arithmetic?,Half Adder,Full Adder,XOR gate,OR gate,B,Easy
9,What is the output of an XOR gate if both inputs are the same?,0,1,Undefined,Error,A,Easy
10,Which gate is equivalent to the negation of an AND gate?,NOR gate,XOR gate,NAND gate,XNOR gate,C,Easy
11,What is the result of performing a logical NAND operation between 1 and 1?,0,1,Undefined,Error,A,Easy
12,Which gate is known as the Universal Gate?,NOR gate,NAND gate,XOR gate,XNOR gate,B,Easy
13,What is the binary representation of the decimal number 5?,101,1010,11,1001,D,Easy
14,Which gate outputs a high signal only when one input is high and the other is low?,XOR gate,AND gate,OR gate,NOT gate,A,Easy
15,What is the result of performing a logical NOR operation between 0 and 0?,0,1,Undefined,Error,B,Easy
16,Which gate performs subtraction in binary arithmetic?,Half Subtractor,Full Subtractor,XOR gate,AND gate,B,Easy
17,What is the output of an XNOR gate if both inputs are different?,0,1,Undefined,Error,A,Easy
18,What is the binary representation of the decimal number 10?,100,1010,11,1101,B,Easy
19,Which gate is equivalent to the negation of an OR gate?,NOR gate,XOR gate,NAND gate,XNOR gate,A,Easy
20,What is the result of performing a logical XNOR operation between 1 and 0?,0,1,Undefined,Error,A,Easy
21,What is the output of an AND gate if one input is 0 and the other is 1?,0,1,Undefined,Error,A,Easy
22,Which gate is equivalent to the negation of an XOR gate?,NOR gate,NAND gate,OR gate,XNOR gate,D,Easy
23,What is the binary representation of the decimal number 3?,10,110,11,1101,C,Easy
24,Which gate is used to implement addition with carry in binary arithmetic?,Half Adder,Full Adder,XOR gate,AND gate,B,Easy
25,What is the output of an OR gate if both inputs are 0?,0,1,Undefined,Error,A,Easy
26,Which gate is equivalent to the negation of a NOR gate?,AND gate,XOR gate,NAND gate,XNOR gate,C,Easy
27,What is the binary representation of the decimal number 7?,111,1001,101,1110,A,Easy
28,Which gate is used to implement subtraction with borrow in binary arithmetic?,Half Subtractor,Full Subtractor,XOR gate,OR gate,B,Easy
29,What is the output of a NAND gate if both inputs are 1?,0,1,Undefined,Error,A,Easy
30,Which gate is equivalent to the negation of an XNOR gate?,NOR gate,NAND gate,OR gate,XOR gate,D,Easy
31,What is the binary representation of the decimal number 15?,1100,1010,1111,100,C,Easy
32,Which gate is used to implement the logical function A'B + AB'?,XOR gate,NAND gate,OR gate,AND gate,B,Easy
33,What is the output of an OR gate if one input is 1 and the other is 0?,0,1,Undefined,Error,B,Easy
34,Which gate is used to implement the logical function A XOR B?,XOR gate,NAND gate,OR gate,AND gate,A,Easy
35,What is the result of performing a logical AND operation between 1 and 0?,0,1,Undefined,Error,A,Easy
36,Which gate is used to implement the logical function A OR B?,OR gate,NAND gate,XOR gate,AND gate,A,Easy
37,What is the binary representation of the decimal number 12?,1010,1100,1110,110,B,Easy
38,Which gate is used to implement the logical function A AND B?,AND gate,NAND gate,XOR gate,OR gate,A,Easy
39,What is the result of performing a logical OR operation between 0 and 0?,0,1,Undefined,Error,A,Easy
40,Which gate is used to implement the logical function A NOR B?,NOR gate,NAND gate,XOR gate,AND gate,A,Easy
41,What is the binary representation of the decimal number 9?,1001,1010,110,11,A,Easy
42,Which gate is used to implement the logical function A XNOR B?,XNOR gate,NAND gate,OR gate,AND gate,A,Easy
43,What is the result of performing a logical XOR operation between 1 and 0?,0,1,Undefined,Error,B,Easy
44,Which gate is used to implement the logical function A + B?,OR gate,NAND gate,XOR gate,AND gate,A,Easy
45,What is the binary representation of the decimal number 6?,1001,110,100,1100,B,Easy
46,Which gate is used to implement the logical function A' + B'?,NOR gate,NAND gate,XOR gate,AND gate,A,Easy
47,What is the result of performing a logical NAND operation between 0 and 1?,0,1,Undefined,Error,B,Easy
48,Which gate is used to implement the logical function A + B'?,OR gate,NAND gate,XOR gate,AND gate,B,Easy
49,What is the binary representation of the decimal number 14?,1010,110,1110,101,C,Easy
50,Which gate is used to implement the logical function A'B'?,NOR gate,NAND gate,XOR gate,AND gate,B,Easy
51,Which logic gate outputs a high signal if any of its inputs are high and the others are low?,OR gate,NOR gate,NAND gate,XOR gate,B,Medium
52,What is the output of an XOR gate if both inputs are the same?,0,1,Undefined,Error,A,Medium
53,Which gate is used to implement subtraction in binary arithmetic?,Half Adder,Full Adder,Half Subtractor,Full Subtractor,C,Medium
54,What is the result of performing a logical XOR operation between 0 and 0?,0,1,Undefined,Error,A,Medium
55,Which gate is used to implement the logical function A AND B?,AND gate,NOR gate,NAND gate,XOR gate,A,Medium
56,What is the binary representation of the decimal number 13?,1101,1011,1110,1001,A,Medium
57,Which gate is used to implement the logical function A OR B?,OR gate,NOR gate,NAND gate,XOR gate,A,Medium
58,What is the output of an OR gate if both inputs are 1?,0,1,Undefined,Error,B,Medium
59,Which gate is used to implement the logical function A XOR B?,XOR gate,NOR gate,NAND gate,OR gate,A,Medium
60,What is the result of performing a logical AND operation between 1 and 1?,0,1,Undefined,Error,B,Medium
61,Which gate is used to implement addition in binary arithmetic?,Half Adder,Full Adder,Half Subtractor,Full Subtractor,B,Medium
