Qid,Question,A,B,C,D,Answer,Level
1,What is the primary law of thermodynamics also known as?,Law of conservation of energy,Law of entropy,Law of thermodynamic equilibrium,Law of heat transfer,a,Easy
2,What is the SI unit of temperature?,Kelvin (K),Celsius (°C),Fahrenheit (°F),Joule (J),a,Easy
3,Which process involves the transfer of heat due to the movement of fluid particles?,Conduction,Convection,Radiation,Evaporation,b,Easy
4,What happens to the volume of a gas when it is heated at constant pressure?,Volume decreases,Volume increases,Volume remains constant,Volume fluctuates randomly,b,Easy
5,Which law of thermodynamics states that no heat engine can be 100% efficient?,Zeroth Law,First Law,Second Law,Third Law,c,Easy
6,What is the unit of heat energy?,Watt (W),Joule (J),Calorie (cal),Newton (N),b,Easy
7,Which material is an insulator against heat transfer?,Copper,Aluminum,Wood,Silver,c,Easy
8,What is the heat capacity of a substance defined as?,The ratio of heat transfer to temperature change,The heat required to raise the temperature of one kilogram of substance by one degree Celsius,The ratio of temperature change to heat transfer,The specific heat of the substance at constant pressure,b,Easy
9,What is the process by which a liquid turns into vapor at its boiling point throughout the liquid?,Vaporization,Evaporation,Boiling,Sublimation,c,Easy
10,"Which law of thermodynamics states that energy cannot be created or destroyed, only transformed from one form to another?",Zeroth Law,First Law,Second Law,Third Law,b,Easy
11,What is the name of the boundary between two phases of matter during a phase change?,Melting point,Freezing point,Phase transition boundary,Interface,d,Easy
12,Which type of heat transfer occurs through electromagnetic waves?,Conduction,Convection,Radiation,Evaporation,c,Easy
13,Which material is a good conductor of heat?,Plastic,Glass,Copper,Rubber,c,Easy
14,What happens to the temperature of a substance during a phase change?,It remains constant,It increases,It decreases,It fluctuates,a,Easy
15,What is the specific heat capacity of water?,1 J/kg°C,4.18 J/kg°C,10 J/kg°C,100 J/kg°C,b,Easy
16,What is the name of the process by which heat is transferred between two objects in physical contact with each other?,Conduction,Convection,Radiation,Absorption,a,Easy
17,Which of the following materials is an example of a good insulator?,Aluminum,Copper,Styrofoam,Iron,c,Easy
18,What is the heat capacity of an object with a mass of 2 kg and a specific heat capacity of 500 J/kg°C?,250 J/°C,1000 J/°C,500 J/°C,2000 J/°C,d,Easy
19,Which law of thermodynamics deals with the concept of entropy?,Zeroth Law,First Law,Second Law,Third Law,c,Easy
20,Which of the following materials is a poor conductor of heat?,Silver,Aluminum,Glass,Iron,c,Easy
21,What is the process by which heat is transferred from the sun to the Earth?,Conduction,Convection,Radiation,Absorption,c,Easy
22,What is the SI unit of specific heat capacity?,Joule (J),Joule per kilogram per degree Celsius (J/kg°C),Newton (N),Watt (W),b,Easy
23,Which of the following is an example of a phase change?,Heating water from 20°C to 40°C,Melting ice to form water,Mixing two liquids together,Dissolving a solid in a liquid,b,Easy
24,What is the process by which a solid turns directly into vapor without passing through the liquid phase?,Melting,Freezing,Evaporation,Sublimation,d,Easy
25,Which of the following materials has the highest specific heat capacity?,Water,Aluminum,Iron,Lead,a,Easy
26,What is the heat capacity of a substance if 500 J of heat raises the temperature of 2 kg of the substance by 50°C?,10 J/°C,20 J/°C,25 J/°C,50 J/°C,a,Easy
27,Which of the following is an example of convection?,Heating a metal rod,Boiling water in a pot,Sunlight warming the air,Holding an ice cube in your hand,c,Easy
28,"What is the process by which a liquid turns into vapor at its surface, below its boiling point?",Boiling,Evaporation,Condensation,Sublimation,b,Easy
29,Which of the following statements is true regarding the first law of thermodynamics?,It states that energy cannot be created or destroyed.,It states that the entropy of a system tends to increase over time.,"It describes the relationship between pressure, volume, and temperature.",It defines the efficiency of heat engines.,a,Easy
30,Which term refers to the total kinetic and potential energy of a system's particles?,Temperature,Heat,Internal energy,Enthalpy,c,Easy
31,Which law of thermodynamics states that the entropy of a system increases over time?,Zeroth Law,First Law,Second Law,Third Law,c,Easy
32,Which process involves the transfer of heat through direct physical contact between molecules?,Conduction,Convection,Radiation,Evaporation,a,Easy
33,What is the SI unit of heat?,Joule (J),Calorie (cal),Watt (W),Newton (N),a,Easy
34,Which of the following materials is a good conductor of heat?,Plastic,Glass,Aluminum,Wood,c,Easy
35,What is the process by which a gas turns into a liquid?,Evaporation,Sublimation,Condensation,Boiling,c,Easy
36,"Which law of thermodynamics states that energy cannot be created or destroyed, only transformed from one form to another?",Zeroth Law,First Law,Second Law,Third Law,b,Easy
37,Which term refers to the heat required to raise the temperature of one gram of a substance by one degree Celsius?,Heat capacity,Specific heat capacity,Thermal conductivity,Heat transfer coefficient,b,Easy
38,Which of the following materials is an example of a good insulator?,Copper,Aluminum,Styrofoam,Silver,c,Easy
39,What is the process by which a liquid turns into vapor at its boiling point throughout the liquid?,Evaporation,Vaporization,Sublimation,Condensation,b,Easy
40,What is the specific heat capacity of water?,1 J/kg°C,4.18 J/kg°C,10 J/kg°C,100 J/kg°C,b,Easy
41,Which law of thermodynamics deals with the concept of entropy?,Zeroth Law,First Law,Second Law,Third Law,c,Easy
42,Which of the following is an example of convection?,Heating a metal rod,Boiling water in a pot,Sunlight warming the air,Holding an ice cube in your hand,c,Easy
43,What is the process by which heat is transferred from the sun to the Earth?,Conduction,Convection,Radiation,Absorption,c,Easy
44,Which of the following materials is a poor conductor of heat?,Silver,Aluminum,Glass,Iron,c,Easy
45,What is the heat capacity of a substance if 500 J of heat raises the temperature of 2 kg of the substance by 50°C?,10 J/°C,20 J/°C,25 J/°C,50 J/°C,d,Easy
46,Which of the following is an example of a phase change?,Heating water from 20°C to 40°C,Melting ice to form water,Mixing two liquids together,Dissolving a solid in a liquid,b,Easy
47,What is the process by which a solid turns directly into vapor without passing through the liquid phase?,Melting,Freezing,Evaporation,Sublimation,d,Easy
48,Which of the following materials has the highest specific heat capacity?,Water,Aluminum,Iron,Lead,a,Easy
49,Which of the following is an example of radiation?,Touching a hot pan,Boiling water in a pot,Sunlight warming the Earth,Heating a room with a heater,c,Easy
50,"What is the process by which a liquid turns into vapor at its surface, below its boiling point?",Boiling,Evaporation,Condensation,Sublimation,b,Easy
51,"Which law of thermodynamics states that energy cannot be created or destroyed, only transferred or transformed?",Zeroth Law,First Law,Second Law,Third Law,b,Medium
52,What is the term for the measure of disorder or randomness in a system?,Entropy,Enthalpy,Entropy change,Internal energy,a,Medium
53,Which of the following is a statement of the Second Law of Thermodynamics?,Energy cannot be created or destroyed,Heat flows from hot to cold objects spontaneously,Entropy of an isolated system never decreases,All processes proceed to attain equilibrium,c,Medium
54,What is the efficiency of a heat engine that takes in 500 J of heat and does 200 J of work?,40%,50%,60%,80%,a,Medium
55,Which of the following is a unit of thermal conductivity?,J/kg°C,m/s,W/m°C,N/m²,c,Medium
56,What is the term for the heat required to change the phase of a substance?,Sensible heat,Latent heat,Specific heat,Enthalpy,b,Medium
57,"According to the Zeroth Law of Thermodynamics, if two systems are each in thermal equilibrium with a third system, what can be said about those two systems?",They are in thermal equilibrium with each other,They are at different temperatures,They have different internal energies,They have different entropies,a,Medium
58,Which of the following is an example of an adiabatic process?,Boiling water in an open pot,Heating a metal rod with a flame,Expanding gas in a perfectly insulated cylinder,Stirring a cup of coffee,c,Medium
59,What is the Carnot efficiency of an engine operating between temperatures of 500°C and 200°C?,40%,50%,60%,80%,c,Medium
60,What is the unit of specific heat capacity?,Joule (J),Joule per kilogram per degree Celsius (J/kg°C),Watt (W),Pascal (Pa),b,Medium
61,In which process does the heat transfer occur due to the actual movement of a fluid?,Conduction,Convection,Radiation,Evaporation,b,Medium
62,Which of the following statements is true about an ideal gas?,Its volume is negligible compared to its mass,It has no intermolecular forces,Its behavior follows Boyle's Law only,Its internal energy is constant,b,Medium
